Report 4
ID,Geo Response,Is the bakery functional?,What is the price of a bag of bread (7-8 loaves)?,How would you describe the traffic at this bakery?,Does it look like the bakery has been damaged in the past 2 weeks?,Have you seen people being turned away from the bakery/has the bakery run out of bread in the past 2 weeks?
582,POINT (37.1664744615555 36.2327727066418),Yes   ,65.0,Works with the Council   ,No   ,Yes   
583,POINT (37.168555855751 36.2295706170312),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
584,POINT (37.1699774265289 36.2277488291521),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
585,POINT (37.1700793504715 36.2275281346268),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
586,POINT (37.1877872943878 36.2151119828186),Yes   ,65.0,Works with the Council   ,No   ,Yes   
587,POINT (37.1977865695953 36.2158650575727),Yes   ,65.0,Works with the Council   ,No   ,Yes   
588,POINT (37.187631726265 36.2155577693243),Yes   ,65.0,Works with the Council   ,No   ,Yes   
589,POINT (37.1913439035416 36.2155750813704),Yes   ,65.0,Works with the Council   ,No   ,Yes   
590,POINT (37.1754544973373 36.2226900079778),Yes   ,65.0,Works with the Council   ,No   ,Yes   
591,POINT (37.1793168783188 36.2386010385784),Yes   ,65.0,Works with the Council   ,No   ,Yes   
592,POINT (37.1861296892166 36.2152071995671),Yes   ,65.0,Works with the Council   ,No   ,Yes   
593,POINT (37.1877980232239 36.2178645657118),Yes   ,65.0,Works with the Council   ,No   ,Yes   
594,POINT (37.1803146600723 36.2199765447856),Yes   ,65.0,Works with the Council   ,No   ,Yes   
595,POINT (37.187996506691 36.2285234187334),Yes   ,65.0,Works with the Council   ,No   ,Yes   
596,POINT (37.1773964166641 36.2374847324717),Yes   ,65.0,Works with the Council   ,No   ,Yes   
597,POINT (37.109831571579 36.2151985435038),Yes   ,15.0,Very busy   ,No   ,Yes   
598,POINT (37.1286821365356 36.2243301577877),Yes   ,15.0,Very busy   ,No   ,Yes   
599,POINT (37.133075594902 36.224122436231),Yes   ,15.0,Very busy   ,No   ,Yes   
600,POINT (37.1401888132095 36.2094853328652),Yes   ,15.0,Very busy   ,No   ,Yes   
601,POINT (37.1142625808716 36.2279954870022),Yes   ,15.0,Very busy   ,No   ,Yes   
602,POINT (37.1454727649689 36.2239406794164),Yes   ,15.0,Very busy   ,No   ,Yes   
603,POINT (37.1236449480057 36.2185526963033),Yes   ,15.0,Very busy   ,No   ,Yes   
604,POINT (37.1186292171478 36.2146618657114),Yes   ,15.0,Very busy   ,No   ,Yes   
605,POINT (37.1365946531296 36.2177130896115),Yes   ,15.0,Very busy   ,No   ,Yes   
606,POINT (37.1453064680099 36.2161507047213),Yes   ,15.0,Very busy   ,No   ,Yes   
607,POINT (37.142978310585 36.2254553066329),"No, it appears closed   ",0.0,Closed   ,No   ,No   
608,POINT (37.1232265233994 36.2263770511252),Yes   ,15.0,Very busy   ,No   ,Yes   
609,POINT (37.1505689620972 36.214025638076),Yes   ,15.0,Somewhat busy   ,No   ,No   
610,POINT (37.1614158153534 36.2131946390873),Yes   ,15.0,Somewhat busy   ,No   ,No   
611,POINT (37.1556329727173 36.212281395645),Yes   ,15.0,Somewhat busy   ,No   ,No   
612,POINT (37.1402049064636 36.2094074225645),Yes   ,15.0,Very busy   ,No   ,No   
613,POINT (37.152886390686 36.2103380127527),"No, it appears destroyed   ",15.0,Somewhat busy   ,No   ,No   
614,POINT (37.0998752117157 36.2019666314528),Yes   ,15.0,Somewhat busy   ,No   ,No   
615,POINT (37.1659809350967 36.2084595076937),Yes   ,65.0,Works with the Council   ,No   ,No   
616,POINT (37.1149706840515 36.1816187983581),Yes   ,15.0,Somewhat busy   ,No   ,No   
617,POINT (37.1470069885254 36.1991095952768),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
618,POINT (37.1512019634247 36.2146835060162),Yes   ,15.0,Somewhat busy   ,No   ,No   
619,POINT (37.1514165401459 36.216198312478),Yes   ,15.0,Somewhat busy   ,No   ,No   
620,POINT (37.1631968021393 36.213921763685),Yes   ,15.0,Somewhat busy   ,No   ,No   
621,POINT (37.1612870693207 36.2156876095765),Yes   ,15.0,Somewhat busy   ,No   ,No   
622,POINT (37.1646398305893 36.2185094178281),Yes   ,15.0,Very busy   ,No   ,No   
623,POINT (37.1640229225159 36.2169167532891),Yes   ,15.0,Very busy   ,No   ,No   
624,POINT (37.1753793954849 36.216146376742),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
625,POINT (37.1411490440369 36.2045898182991),Yes   ,15.0,Somewhat busy   ,No   ,No   
626,POINT (37.1065378189087 36.1961658731904),"No, it appears destroyed   ",15.0,Somewhat busy   ,No   ,No   
627,POINT (37.1668875217438 36.2057715222654),Yes   ,65.0,Works with the Council   ,No   ,No   
628,POINT (37.1665173768997 36.2162805439895),"No, it appears closed   ",0.0,Closed   ,No   ,No   
629,POINT (37.1900081634521 36.2083123417982),Yes   ,60.0,Works with the Council   ,No   ,No   
630,POINT (37.1911883354187 36.2076977047729),Yes   ,70.0,Works with the Council   ,No   ,Yes   
631,POINT (37.1950721740723 36.2098359282584),Yes   ,70.0,Works with the Council   ,No   ,Yes   
632,POINT (37.2051358222961 36.2111344160329),Yes   ,70.0,Works with the Council   ,No   ,Yes   
633,POINT (37.1995139122009 36.2032306202473),Yes   ,70.0,Works with the Council   ,No   ,Yes   
634,POINT (37.1886563301086 36.2098792115313),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
635,POINT (37.1850728988647 36.2088404063733),Yes   ,65.0,Works with the Council   ,No   ,Yes   
636,POINT (37.1831148862839 36.2082604008279),Yes   ,65.0,Works with the Council   ,No   ,Yes   
637,POINT (37.1823424100876 36.2080353228914),Yes   ,65.0,Somewhat busy   ,No   ,Yes   
638,POINT (37.1785497665405 36.210095627537),Yes   ,70.0,Works with the Council   ,No   ,Yes   
639,POINT (37.1756207942963 36.2079920385986),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
640,POINT (37.1907699108124 36.2082257734952),Yes   ,70.0,Somewhat busy   ,No   ,Yes   
641,POINT (37.192690372467 36.2094550344242),Yes   ,70.0,Works with the Council   ,No   ,Yes   
642,POINT (37.1947395801544 36.2066761846727),Yes   ,65.0,Works with the Council   ,No   ,Yes   
643,POINT (37.2029685974121 36.2085330905376),Yes   ,65.0,Works with the Council   ,No   ,Yes   
644,POINT (37.1964240074158 36.20103161291),Yes   ,65.0,Works with the Council   ,Yes   ,Yes   
645,POINT (37.1798157691956 36.2112469506255),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
646,POINT (37.1762752532959 36.2084335372616),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
647,POINT (37.178635597229 36.2016376447204),Yes   ,65.0,Works with the Council   ,No   ,Yes   
648,POINT (37.1841502189636 36.2009710094709),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
649,POINT (37.1771013736725 36.199966717078),Yes   ,65.0,Works with the Council   ,No   ,Yes   
650,POINT (37.1835386753082 36.1984602543314),Yes   ,60.0,Works with the Council   ,Yes   ,Yes   
651,POINT (37.1827554702759 36.1952307853651),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
652,POINT (37.1877121925354 36.1954732166143),Yes   ,65.0,Works with the Council   ,No   ,Yes   
653,POINT (37.171790599823 36.2050659649005),Yes   ,65.0,Works with the Council   ,No   ,Yes   
654,POINT (37.1810817718506 36.2008887618714),Yes   ,70.0,Works with the Council   ,No   ,Yes   
655,POINT (37.1818971633911 36.1998541662656),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
656,POINT (37.1827125549316 36.2015683841796),Yes   ,70.0,Works with the Council   ,No   ,Yes   
657,POINT (37.1835601329803 36.2030488148966),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
658,POINT (37.1731424331665 36.1877323625397),Yes   ,70.0,Works with the Council   ,No   ,Yes   
659,POINT (37.1768116950989 36.1893602566867),Yes   ,65.0,Works with the Council   ,No   ,Yes   
660,POINT (37.1596240997314 36.1845284294871),Yes   ,65.0,Works with the Council   ,No   ,Yes   
661,POINT (37.1566200256348 36.1847189372793),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
662,POINT (37.1487021446228 36.1885463138428),Yes   ,70.0,Works with the Council   ,No   ,Yes   
663,POINT (37.1487021446228 36.1905205435626),Yes   ,0.0,Closed   ,No   ,Yes   
664,POINT (37.1909201145172 36.1953520010835),Yes   ,65.0,Works with the Council   ,No   ,Yes   
665,POINT (37.1750950813293 36.188373133423),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
666,POINT (37.164044380188 36.1858273370613),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
667,POINT (37.1519422531128 36.1859139301337),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
668,POINT (37.1494424343109 36.191360441993),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
669,POINT (37.1510410308838 36.1833853730042),Yes   ,65.0,Works with the Council   ,No   ,Yes   
670,POINT (37.1537446975708 36.1802332217397),Yes   ,65.0,Works with the Council   ,No   ,Yes   
671,POINT (37.1326196193695 36.1808134349311),Yes   ,65.0,Works with the Council   ,No   ,Yes   
672,POINT (37.1299266815185 36.1815754994598),Yes   ,65.0,Works with the Council   ,No   ,Yes   
673,POINT (37.1317291259766 36.1799647634359),Yes   ,65.0,Works with the Council   ,No   ,Yes   
674,POINT (37.1245193481445 36.1738765749284),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
675,POINT (37.1211612224579 36.181272406501),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
676,POINT (37.1231031417847 36.1792026832386),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
677,POINT (37.1241974830627 36.1849267634331),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
678,POINT (37.1565985679626 36.1577834665751),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
679,POINT (37.144228219986 36.1932653328836),Yes   ,65.0,Works with the Council   ,No   ,Yes   
680,POINT (37.1326625347137 36.1873859977174),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
681,POINT (37.1163868904114 36.1910054344771),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
682,POINT (37.1420288085938 36.1812810663161),Yes   ,65.0,Works with the Council   ,No   ,Yes   
683,POINT (37.1416211128235 36.1767172110824),Yes   ,65.0,Works with the Council   ,No   ,Yes   
684,POINT (37.1400547027588 36.1764487407305),Yes   ,65.0,Works with the Council   ,No   ,Yes   
685,POINT (37.1549677848816 36.1831082658903),Yes   ,65.0,Works with the Council   ,No   ,Yes   
686,POINT (37.1569097042084 36.1847882127252),Yes   ,65.0,Works with the Council   ,No   ,Yes   
687,POINT (37.1325606107712 36.1820994145229),Yes   ,65.0,Works with the Council   ,No   ,Yes   
688,POINT (37.1294546127319 36.1740497873982),Yes   ,65.0,Works with the Council   ,No   ,Yes   
689,POINT (37.1245729923248 36.1815798293507),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
690,POINT (37.1204960346222 36.1768990775723),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
691,POINT (37.1280169487 36.192936309586),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
692,POINT (37.15287566185 36.1594899430495),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
693,POINT (37.1425223350525 36.1921310625254),Yes   ,65.0,Works with the Council   ,No   ,Yes   
694,POINT (37.1239721775055 36.1895853883202),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
695,POINT (37.1185863018036 36.1917673998483),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
696,POINT (37.1407037973404 36.1761889298367),Yes   ,65.0,Works with the Council   ,No   ,Yes   
697,POINT (37.1423935890198 36.1762928542976),Yes   ,65.0,Works with the Council   ,No   ,Yes   
698,POINT (37.1768867969513 36.2001138986654),Yes   ,65.0,Works with the Council   ,No   ,No   
699,POINT (37.1645593643188 36.2076457633947),"No, it appears closed   ",0.0,Closed   ,No   ,No   
700,POINT (37.1621990203857 36.2067108126911),Yes   ,65.0,Works with the Council   ,No   ,Yes   
701,POINT (37.1617430448532 36.2067367836948),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
702,POINT (37.159548997879 36.2081392050964),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
703,POINT (37.1574246883392 36.2070700774772),"No, it appears closed   ",0.0,Closed   ,No   ,No   
704,POINT (37.1625852584839 36.2109309877049),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
705,POINT (37.1579879522324 36.2104721899601),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
706,POINT (37.1575963497162 36.2099311514273),"No, it appears closed   ",0.0,Closed   ,No   ,No   
707,POINT (37.1601337194443 36.2032133054701),"No, it appears closed   ",0.0,Closed   ,No   ,No   
708,POINT (37.1732068061829 36.2019449876313),"No, it appears closed   ",0.0,Closed   ,No   ,No   
709,POINT (37.1734750270844 36.2031613611158),Yes   ,65.0,Works with the Council   ,No   ,No   
710,POINT (37.1757388114929 36.20365483109),Yes   ,65.0,Works with the Council   ,No   ,No   
711,POINT (37.1714150905609 36.2049880502003),Yes   ,65.0,Works with the Council   ,No   ,No   
712,POINT (37.1662974357605 36.1966680453764),Yes   ,65.0,Works with the Council   ,No   ,Yes   
713,POINT (37.1603536605835 36.1930488703434),Yes   ,65.0,Works with the Council   ,No   ,No   
714,POINT (37.1550750732422 36.1964948829175),Yes   ,65.0,Works with the Council   ,No   ,Yes   
715,POINT (37.1587443351746 36.1916634959161),Yes   ,65.0,Works with the Council   ,No   ,Yes   
716,POINT (37.1598386764526 36.1912651962321),Yes   ,65.0,Works with the Council   ,No   ,No   
717,POINT (37.1612924337387 36.2103077146418),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
718,POINT (37.1556222438812 36.2064554306957),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
719,POINT (37.1566736698151 36.2088880185778),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
720,POINT (37.1610242128372 36.2046374330896),"No, it appears closed   ",0.0,Closed   ,No   ,No   
721,POINT (37.1616840362549 36.2119048419279),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
722,POINT (37.1587228775024 36.2279695230546),"No, it appears closed   ",0.0,Very busy   ,No   ,Yes   
723,POINT (37.1598225831985 36.2306913633103),Yes   ,65.0,Works with the Council   ,No   ,Yes   
724,POINT (37.1711254119873 36.233573208556),Yes   ,65.0,Works with the Council   ,No   ,Yes   
725,POINT (37.2021961212158 36.2185700076867),Yes   ,65.0,Works with the Council   ,No   ,Yes   
726,POINT (37.1325713396072 36.2341789883406),Yes   ,65.0,Works with the Council   ,No   ,Yes   
727,POINT (37.1338105201721 36.2380775016528),Yes   ,65.0,Works with the Council   ,No   ,Yes   
728,POINT (37.1589803695679 36.2278656671781),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
729,POINT (37.1578216552734 36.2300812292971),Yes   ,65.0,Works with the Council   ,No   ,Yes   
730,POINT (37.162971496582 36.2295446536065),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
731,POINT (37.1621775627136 36.2283503267552),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
732,POINT (37.1603214740753 36.2294451270656),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
733,POINT (37.1571886539459 36.2300379572005),Yes   ,65.0,Works with the Council   ,No   ,Yes   
734,POINT (37.1538734436035 36.2314226524155),Yes   ,65.0,Works with the Council   ,No   ,Yes   
735,POINT (37.1949595212936 36.2321106637319),Yes   ,65.0,Works with the Council   ,No   ,Yes   
736,POINT (37.1959465742111 36.2156832815716),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
737,POINT (37.1897184848785 36.2275887174997),Yes   ,65.0,Works with the Council   ,No   ,Yes   
738,POINT (37.1360367536545 36.2353688992533),Yes   ,65.0,Works with the Council   ,No   ,Yes   
739,POINT (37.136482000351 36.1714688819487),Yes   ,65.0,Works with the Council   ,No   ,Yes   
