City,Agency,Address,Suite,Telephone,Tags Available?,Mail-in Forms Available?,Notes
Bothell,North Shore Community Service Center,"10808 NE 145th St
Bothell, WA 98011
(47.7334, -122.1956)",,206-296-9840,Y,Y,
Bothell,Worthington Licensing Agency,"11035 NE 183rd St
Bothell 98011
(47.753052788255616, -122.201277900055)",,425-481-1714,Y,Y,
Bothell,Cat Clinic at Canyon Park,"22833 Bothell-Everett Hwy
Bothell 98021
(47.79059570024157, -122.21722273218978)",Ste 159,425-489-1484,N,Y,
Burien,Burien City Hall,"400 SW 152nd St
Burien 98166
(47.46690773009422, -122.33874063115346)",Ste 300,206-241-4647,Y,Y,
Burien,VCA Five Corners Veterinary Hospital,"15707 First Ave S
Burien 98148
(47.462338539795695, -122.33394952177812)",,206-243-2982,N,Y,
Carnation,Carnation City Hall,"4621 Tolt Ave
Carnation 98014
(47.64881071755819, -121.91370076873021)",,425-333-4192,Y,Y,
Clyde Hill,Clyde Hill City Hall,"9605 NE 24th St
Clyde, Hill 98004
(47.63196295572355, -122.21234403675419)",,425-453-7800,Y,Y,
Covington,Covington Animal Hospital,"27045 174th Pl SE
Covington 98042
(47.35957103348575, -122.10934801492562)",,253-631-8616,N,Y,
Covington,Covington Community Service Center,"27331 172nd Ave SE
Covington 98042
(47.356552685431346, -122.11242388334729)",Ste 116,206-296-1387,Y,Y,
Covington,Covington City Hall,"16720 SE 271st St
Covington 98042
(47.36050097963653, -122.11227182358573)",Ste 100,253-638-1110,Y,Y,
Covington,Valley Vehicle Licensing,"27331 172nd Ave SE
Covington 98042
(47.356552685431346, -122.11242388334729)",Ste 116,253-630-7090,Y,Y,
Duvall,Duvall City Hall,"15535 Main St NE
Duvall 98019
(47.74120154101685, -121.98609358244879)",,425-788-1185,Y,Y,
Duvall,Duvall Veterinary Hospital,"26415 NE Valley St
Duvall 98019
(47.73781636818214, -121.98610264908484)",,425-788-2620,N,Y,
Enumclaw,Country Animal Hospital,"24407 SE 440th St
Enumclaw 98022
(47.206522056654684, -122.01613751325137)",,360-825-2061,N,Y,
Enumclaw,QFC #863,"1009 Monroe Ave
Enumclaw 98022
(47.19961271237279, -121.99031600377172)",,360-825-5155,Y,Y,
Enumclaw,Muddy Paws Grooming,"1002 Bathke Ave
Enumclaw 98022
(47.195, -122.992)",,360-802-4663,N,Y,
Enumclaw,Enumclaw City Hall,"1339 Griffin Ave
Enumclaw 98022
(47.20421420996089, -121.99100263447575)",,360-825-3591 x5605,Y,Y,
Fall City,Snoqualmie Valley Animal Hospital,"32020 SE 40th St
Fall, City 98024
(47.57264500644072, -121.91416020153599)",,425-222-7220,N,Y,
Federal Way,Twin Lakes Veterinary Hospital,"1060 SW 320th St
Federal, Way 98023
(47.315214507283, -122.34756922528398)",,253-839-7880,N,Y,
Issaquah,Meadows Cat Hospital,"1480 NW Gilman Blvd
Issaquah 98027
(47.54573772305346, -122.06047895296994)",Ste 6,425-392-8770,N,Y,
Issaquah,Issaquah City Hall,"130 E Sunset Way
Issaquah 98027
(47.530130651196735, -122.03440850176955)",,425-837-3000,Y,Y,
Issaquah,Klahanie Center Veterinary Hospital,"4582 Klahanie Dr SE
Issaquah 98029
(47.56394420972835, -122.0040716907501)",,425-392-3110,N,Y,
Issaquah,QFC #821,"1540 NW Gilman Blvd
Issaquah 98027
(47.54573772305346, -122.0610561316285)",,425-392-4475,Y,Y,
Issaquah,QFC #840,"4570 Klahanie Dr SE
Issaquah 98027
(47.49087866441886, -121.97418780502318)",,425-392-2776,Y,Y,
Kenmore,Kenmore City Hall,"18120 68th Ave NE
Kenmore 98028
(47.7606, -122.2492)",,425-398-8900,Y,Y,
Kent,Sawyer Lake Veterinary Hospital,"28727 216th Ave SE
Kent 98042
(47.34340607700839, -122.05389024241595)",,360-886-8000,N,Y,
Kent,QFC #803,"13304 SE 240th St
Kent 98031
(47.38695342556028, -122.16379260386277)",,253-630-3560,Y,Y,
Kent,Kent License Office,"331 S Washington St
Kent 98032
(47.383202886117154, -122.24746573661598)",,253-852-3110,Y,Y,
Kent,Animal Clinic of Kent,"24416 104th Ave SE
Kent 98028
(47.754510154020466, -122.24670356042094)",,253-859-1520,N,Y,
Kent,Reber Ranch,"28606 132nd Ave SE
Kent 98042
(47.34471372821185, -122.16546173547567)",,253-630-3330,Y,Y,
Kent,Centennial Center,"400 W Gowe St
Kent 98032
(47.38087239582966, -122.23750334102985)",,253-856-5200,Y,Y,
Kent,King County Pet Adoption Center,"21615 64th Ave S
Kent 98032
(47.40844901457919, -122.25465090437552)",,206-296-7387,Y,Y,
Kent,VCA Kent Animal Hospital,"10834 SE Kent-Kangley Road
Kent, WA 98030
(47.37061527423643, -122.19695139142898)",,253-852-8460,N,Y,
Kent,MRJC Community Service Center,"401 Fourth Ave N
Kent 98032
(47.383958191208286, -122.23740975866589)",Ste 1A,206-205-7330,Y,Y,
Kirkland,Eastside Auto License Agency,"12006 NE 85th St
Kirkland 98033
(47.67931710412297, -122.18034582284096)",,425-828-4661,Y,Y,
Kirkland,QFC #809,"211 Park Place Center
Kirkland 98033
(47.67515880693344, -122.19385756057795)",,425-827-2205,Y,Y,
Kirkland,Kirkland City Hall,"123 Fifth Ave
Kirkland 98033
(47.67879341006614, -122.20786662207739)",,425-587-3100,Y,Y,
Kirkland,Kirkland Animal Hospital,"803 Seventh Ave
Kirkland 98033
(47.68058158927407, -122.19313123634818)",,425-822-8231,N,Y,
Kirkland,QFC #828,"11224 NE 124th St
Kirkland 98033
(47.70205038954267, -122.17569230045447)",,425-821-8502,Y,Y,
Kirkland,QFC #838,"14130 Juanita Dr NE
Kirkland 98034
(47.728451730539184, -122.24421512261792)",,425-821-4885,Y,Y,
Kirkland,RASKC Eastside Pet Adoption Center at Kirkland Petco,"12040 NE 85th St
Kirkland, WA 98033
(47.680611, -122.179356)",,425-406-8081,Y,Y,
Lake Forest Park,Lake Forest Park Animal Hospital,"16815 Bothell Way NE
Lake Forest, Park 98155
(47.751142374578215, -122.28201193047332)",,206-363-5656,N,Y,
Lake Forest Park,MudBay,"17171 Bothell Way NE
Lake Forest, Park 98155
(47.754, -122.279)",,206-365-5100,N,Y,
Lake Forest Park,Lake Forest Park City Hall,"17425 Ballinger Way NE
Lake Forest, Park 98155
(47.754609570264485, -122.2780654501163)",,206-368-5440,Y,Y,
Lynnwood,Progressive Animal Welfare Society (PAWS),"15305 44th Ave W
Lynnwood 98046
(47.81046400041333, -122.3249569998656)",,425-412-4029,Y,Y,
Maple Valley,QFC #837,"22131 SE 237th St
Maple, Valley 98038
(47.389087811842764, -122.04627801361265)",,425-432-9961,Y,Y,
Maple Valley,Maple Valley City Hall,"22017 SE Wax Rd
Maple, Valley 98038
(47.39055683898714, -122.05003021462817)",Ste 200,425-413-8800,Y,Y,
Mercer Island,Mercer Island City Hall,"9611 SE 36th St
Mercer, Island 98040
(47.577971366910134, -122.20999597666423)",,206-275-7783,Y,Y,
Mercer Island,QFC #839,"7823 SE 28th St
Mercer, Island 98040
(47.58547168605647, -122.23337246021691)",,206-230-0745,Y,Y,
Mercer Island,QFC #806,"8421 SE 68th St
Mercer, Island 98040
(47.542025418256465, -122.22673960462842)",,206-232-0102,Y,Y,
Mercer Island,Mercer Island Veterinary Clinic,"2448 76th Ave SE
Mercer, Island 98040
(47.58919771746408, -122.23767230538864)",Ste 102,206-232-0333,N,Y,
Mountlake Terrace,A Pet Care Clinic,"23502 56th Ave W
Mountlake, Terrace 98043
(47.78546956467454, -122.30840499274052)",,425-775-0121,N,Y,
Newcastle,Newcastle City Hall,"12835 Newcastle Way
Newcastle 98056
(47.5384, -122.1689)",Ste 200,425-649-4444,Y,Y,
Newcastle,QFC #827,"6940 Coal Creek Pkwy SE
Newcastle 98059
(47.540263856660104, -122.16540381325757)",,425-747-9599,Y,Y,
North Bend,QFC #829,"460 E North Bend Way
North, Bend 98045
(47.49205845727944, -121.79028189292676)",,425-888-1682,Y,Y,
North Bend,North Bend City Hall,"211 Main Ave
North, Bend 98045
(47.49577815797393, -121.78486933192455)",,425-888-1211,Y,Y,
North Bend,North Bend Animal Clinic,"1615 Bendigo Blvd N
North, Bend 98045
(47.51749952075269, -121.81544929049932)",,425-888-3300,N,Y,
Redmond,Animal Emergency Hospital of Redmond,"16421 Cleveland St
Redmond 98052
(47.673, -122.121)",Ste H,425-250-7090,N,Y,
Redmond,MudBay,"8867 161st Ave NE
Redmond 98052
(47.681, -122.126)",Ste 150,425-250-0366,N,Y,
Redmond,All The Best Pet Care,"17875 Redmond Way NE
Redmond 98052
(47.667, -122.102)",,425-881-2232,N,Y,
Redmond,Petco,"7215 170th Ave NE
Redmond 98052
(47.669, -122.116)",,425-861-3907,N,Y,
Redmond,Canine College/Canine Behavior Center,"7551 205th Ave NE
Redmond 98053
(47.674, -122.068)",,425-898-1341,N,Y,
Redmond,Redmond-Kirkland Animal Hospital,"7251 W Lake Sammamish Pkwy NE
Redmond 98052
(47.66969826237592, -122.13037484001295)",,425-882-8000,N,Y,
Redmond,Old Redmond School House City Center,"16600 NE 80th St
Redmond 98052
(47.674879934731564, -122.11824334964501)",,425-556-2300,Y,Y,
Redmond,QFC #860,"8867 161st Ave NE
Redmond 98052
(47.681085256733695, -122.12555483774327)",,425-869-8006,Y,Y,
Redmond,King County Marymoor Park Business Office,"6046 W Lake Sammamish Pkwy NE
Redmond 98052
(47.66591, -122.11379)",,206-296-0673,Y,Y,
Redmond,QFC #878,"23475 NE Novelty Hill Rd
Redmond 98053
(47.700154473417875, -122.02564755019388)",,425-636-0420,Y,Y,
Redmond,Redmond-Fall City Animal Hospital,"24326 NE Redmond-Fall City Rd
Redmond 98053
(47.640825639574565, -122.01242226315615)",,425-868-8008,N,Y,
Redmond,Redmond City Hall,"15670 NE 85th St
Redmond 98052
(47.67863053932311, -122.13146034166053)",,425-556-2145,Y,Y,
Redmond,QFC #820,"15800 Redmond Way NE
Redmond 98052
(47.67453239254206, -122.12907259362926)",,425-885-2311,Y,Y,
Redmond,Redmond Library,"15990 NE 85th St
Redmond 98052
(47.679, -122.129)",,,,,
Redmond,Lucky Jack's Latte,"17648 NE 65th St
Redmond 98052
(47.664, -122.105)",,425-785-8685,N,Y,
Redmond,Pet Pros,"15946 Redmond Way
Redmond 98052
(47.675, -122.127)",,425-556-1430,N,Y,
Redmond,Raining Cats and Dogs Pet Store,"22300 NE Marketplace Dr
Redmond 98053
(47.695, -122.042)",Ste 117,425-898-1312,N,Y,
Redmond,Brookfield Veterinary Hospital,"16241 Redmond Way
Redmond, WA 98052
(47.6745, -122.1238)",,425-895-8888,N,Y,
Redmond,Animal Healing Center,"8015 165th Ave NE
Redmond 98052
(47.675, -122.121)",,425-885-5400,N,Y,
Redmond,Loyal Companion Veterinary Hospital,"22330 NE Marketplace Dr
Redmond 98053
(47.695, -122.042)",Ste 113-115,425-868-7000,N,Y,
Redmond,Eastside Dog,"7533 166th Ave NE
Redmond 98052
(47.671, -122.119)",,425-497-9487,N,Y,
Renton,QFC #871,"4800 NE Fourth St
Renton 98059
(47.4885198123688, -122.15494488380479)",,425-226-7086,Y,Y,
Renton,Black River Community Service Center,"919 SW Grady Way
Renton 98057
(47.4681, -122.2304)",,206-296-7810,Y,Y,
Renton,Renton West Veterinary Clinic,"607 SW Grady Way
Renton 98057
(47.47233090198159, -122.20991049225343)",,425-226-3360,N,Y,
Renton,Renton Veterinary Hospital,"128 Rainier Ave S
Renton 98057
(47.48305744983885, -122.21714346042266)",,425-255-8676,N,Y,
Sammamish,All Critters Animal Hospital,"2834 228th Ave SE
Sammamish 98075
(47.58483173267298, -122.03543451671115)",,425-392-7387,N,Y,
Sammamish,QFC #824,"2902 228th Ave SE
Sammamish 98075
(47.58412392680485, -122.03543889457987)",,425-391-4680,Y,Y,
Sammamish,Sammamish Community Service Center,"801 228th Ave SE
Sammamish 98075
(47.60177254192094, -122.03564473138027)",,425-295-0750,Y,Y,
Sammamish,Sammamish City Hall,"801 228th Ave SE
Sammamish 98075
(47.60177254192094, -122.03564473138027)",,425-898-0660,Y,Y,
Sammamish,Cat Care Clinic Sammamish,"3058 Issaquah-Pine Lake Rd SE
Sammamish 98075
(47.581716221863836, -122.03323213936278)",,425-557-0125,N,Y,
SeaTac,SeaTac City Hall,"4800 S 188th St
SeaTac 98188
(47.43422731279264, -122.27494435570914)",,206-973-4800,Y,Y,
Seattle,Animal Clinic of Roxbury,"9608 30th Ave SW
Seattle 98126
(47.51730186993863, -122.37133436968786)",,206-935-0864,N,Y,
Seattle,QFC #858,"1531 NE 145th St
Seattle 98155
(47.73393453856711, -122.3122096458356)",,206-363-5717,Y,Y,
Seattle,White Center License Agency,"10250 16th Ave SW
Seattle 98146
(47.511398868712696, -122.35506139504551)",,206-763-7979,Y,Y,
Seattle,South Seattle Vet Hospital,"11033 First Ave S
Seattle 98168
(47.50542662845083, -122.33370254441671)",,206-242-8338,N,Y,
Seattle,King County Administration Building,"500 Fourth Ave
Seattle, WA 98104
(47.6032, -122.3292)",Ste 403,206-296-2712,Y,Y,
Shoreline,Amore Pet Care,"1210 N 155th St
Shoreline 98155
(47.749, -122.343)",,206-367-3325,N,Y,
Shoreline,QFC #816,"600 NW Richmond Beach Rd
Shoreline 98177
(47.7651265393547, -122.36440363595909)",,206-546-5129,Y,Y,
Shoreline,Shoreline City Hall,"17544 Midvale Ave N
Shoreline 98133
(47.75630029532787, -122.34428091289523)",,206-801-2230,Y,Y,
Shoreline,Shoreline Police Storefront East,"521 NE 165th St
Shoreline 98155
(47.74854097692023, -122.32365541541787)",,206-363-8424,Y,Y,
Shoreline,Shoreline Police Storefront West,"624 NW Richmond Beach Rd
Shoreline 98177
(47.76512854813855, -122.36464770319643)",,206-546-3636,Y,Y,
Shoreline,Spay and Neuter Clinic,"17211 15th Ave NE
Shoreline 98155
(47.755, -122.314)",,206-542-0505,N,Y,
Shoreline,Petco,"1241 N 205th St
Shoreline 98133
(47.778, -122.343)",,206-838-5356,N,Y,
Shoreline,Nature's Pet Market,"15407 Westminster Way N
Shoreline 98133
(47.741, -122.349)",Ste 5A-1,,N,Y,
Shoreline,Purrfect Cat Boarding/Vacation Solutions,"1511 NE 166th St
Shoreline 98155
(47.749, -122.312)",,206-367-3325,N,Y,
Shoreline,Canine Groomers,"17159 Fremont Ave N
Shoreline 98133
(47.753, -122.351)",,206-801-7366,N,Y,
Shoreline,Richmond Beach Library,"19601 21st Ave NW
Shoreline 98177
(47.772, -122.385)",,206-546-3522,N,Y,
Shoreline,Shoreline Library,"345 NE 175th St
Shoreline 98155
(47.755, -122.325)",,206-362-7550,N,Y,
Snoqualmie,Sno-Falls License Agency,"9025 Meadowbrook Way SE
Snoqualmie 98065
(47.51832817914933, -121.81789053195753)",,425-888-8705,Y,Y,
Snoqualmie,Snoqualmie City Hall,"38624 SE River St
Snoqualmie 98065
(47.526851960438165, -121.82633146786644)",,425-888-1555,Y,Y,
Tukwila,Tukwila City Hall,"6200 Southcenter Blvd
Tukwila 98188
(47.462713641344855, -122.25637866011387)",,206-433-1800,Y,Y,
Vashon,Vashon Community Service Center,"19021 Vashon Hwy SW
Vashon 98070
(47.434504832637714, -122.46052267346178)",,206-296-4510,Y,Y,
Woodinville,Cottage Lake Veterinary Hospital,"19150 NE Woodinville-Duvall Rd
Woodinville 98072
(47.755129895348986, -122.08080571127174)",,425-788-0693,N,Y,
Woodinville,Banfield Veterinary Hospital,"17845 Garden Way NE
Woodinville 98072
(47.75748297339057, -122.15433290799001)",Ste 11,425-398-7278,N,Y,
Woodinville,At Home Vet,"12459 NE Woodinville Dr
Woodinville 98072
(47.75437100890139, -122.17269729851915)",,425-402-0187,N,Y,
Woodinville,Woodinville License Agency,"17403 139th Ave NE
Woodinville 98072
(47.75361769397944, -122.1541226122981)",,425-486-0677,Y,Y,
Woodinville,VCA Sno-Wood Animal Hospital,"17954 Woodinville-Snohomish Rd NE
Woodinville 98072
(47.758012148556496, -122.15732994260303)",,425-483-5834,N,Y,
Woodinville,Woodinville City Hall,"17301 133rd Ave NE
Woodinville 98072
(47.75303590010583, -122.1615341314151)",,425-489-2700,Y,Y,
Yarrow Point,Yarrow Point Town Hall,"4030 95th Ave NE
Yarrow, Point 98004
(47.64680050882713, -122.21399656673441)",,425-454-6994,Y,Y,
